Pin Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEE vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot:,N-O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: ,7/26/2016,(DATE MUST BE ENTERED IN: MONTH/DAY/YEAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trap station,1A,1C,1E,1G,1I,2J,,,2H,,,2F,,,2D,,,2B,,,3A,3C,3E,3G,3I,4J,4H,4F,4D,4B,5A,5C,5E,5G,5I,6J,,,6H,,,6F,,,6D,,,6B,,,7A,7C,7E,7G,7I,8J,8H,8F,8D,8B,9A,9C,9E,9G,9I,10J,10H,10F,10D,10B
Mound?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disturbance?,,N,N,N,N,N,,,N,,,N,,,N,,,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,,,N,,,N,,,N,,,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of hits,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,All,,1st,All,,1st,All,,1st,All,,1st,All,,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st,1st
,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,Lvs,Stm,,,,,,,,,,,,,,,,,,,,
Bracharia lacnantha,,,,,,,,,10,58,22,,,,10,62,,10,44,3,,,,,,10,10,7,8,10,,,,,,10,62,16,10,64,26,4,2,5,,,,,,,,,,,,,10,10,8,,,,,,,,,,,
Lintonia nutans,,,,,,4,16,3,,,,5,16,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,6,7,6,10,92,15,,,,,,,,,,,,,,,,,,,,
Pennisetum mezianum,,,,,,6,33,4,2,6,2,4,5,2,3,15,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Pennisetum straminium,,,,,,6,14,3,,,,4,14,3,,,,3,4,5,,,,,,4,,5,4,,,,,,,6,9,8,3,8,1,2,2,1,3,9,5,1,1,,,,,,,10,,,,1,,,,,,,,,,
Themeda triandra,,,,,,,,,,,,7,32,7,2,6,1,,,,,,,,,,,,,3,,,,,,,,,,,,9,37,10,10,33,7,1,1,2,,,,,,,,,,3,,,,,,,,,,
