,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,
,,S - MWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,,,5,,,,1,,1,,,,,,,,,,,,,,,,,,,,
1,C,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,,,2,4,,1,,,,,,,,,2,,,,,,,,,,,,,,
1,E,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,F,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,,,,,,3,2,,,,,,1,,,,,,,,,,,,,,,,
1,H,,,4,,,,1,,2,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,3,,1,,,,,,2,,,,,,,,,,,,,,
1,J,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,
2,J,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
2,I,,,5,,,2,2,,,,,,,,,,,,,,,,,,,,,,
2,H,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,
2,F,,,,,,2,,,1,,,,2,,,,,,,,,,,,,,,,
2,E,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,
2,D,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,
2,C,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,
3,C,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,D,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,E,,,3,,,2,2,,,,,,,,,,,,,,,,,,,,,,
3,F,,,1,1,3,1,,,,,,,2,,,,,,,,,,,,,,,,
3,G,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
3,H,,,,,,4,2,1,,,,,,,,,,,,,,,,,,,,,
3,I,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,
4,J,,,2,,1,3,2,,,,,,,,,,,,,,,,,,,,,,
4,I,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
4,H,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,
4,G,,,,,4,,,2,,,,,2,,,,,,1,,,,,,,,,,
4,F,,,2,,3,2,,,,,,,3,,,,,,,,,,,,,,,,
4,E,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,
4,D,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,
4,C,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,B,,,1,2,,1,,,,,,,,,,,,,1,,,,,,,,,,
4,A,,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,
5,A,,,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,
5,B,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,,,,,,1,2,,1,,,,2,,,,,,,,,,,,,,,,
5,D,,,1,,,3,,,2,,,,,,,,,,,,,,,,,,,,
5,E,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,
5,F,,,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,
5,G,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,
5,H,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
5,I,,,2,3,,1,,1,,,,,,,,,,,,,,,,,,,,,
5,J,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
6,J,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,
6,H,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
6,G,,,2,2,,3,,1,1,,,,,,,,,,,,,,,,,,,,
6,F,,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,
6,E,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,D,,,1,,,2,,,2,,,,1,,,,,,,,,,,,,,,,
6,C,,,3,,,1,,,,,,,2,,,,,,,,,,,,,,,,
6,B,,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,
6,A,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,1,
7,A,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
7,C,,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,
7,D,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,E,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
7,F,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
