,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,
,,S - MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
1,B,,,4,,,2,3,,,,,,1,,,,,,,,,,,,,,,,
1,C,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,
1,D,,,2,4,,1,,,,,,,,,,,,,,,,,,,,,,,
1,E,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,
1,F,,,3,,1,,,1,,,,,3,,,,,,,,,,,,,,,,
1,G,,,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,
1,H,,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,
1,I,,,4,5,,4,,,,,,,,,,,,,,,,,,,,,,,
1,J,,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,
2,J,,,5,,,,1,,3,,,,,,,,,,,,,,,,,,,,
2,I,,,3,,,5,1,,2,,,,,,,,,,,,,,,,,,,,
2,H,,,,,,1,5,,,,,,1,,,,,,,,,,,,,,,,
2,G,,,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,
2,F,,,7,,,1,,,,,,,2,,,,,,,,,,,,,,,,
2,E,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,
2,D,,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,C,,,1,,4,2,,,,,,,,,,,,,1,,,,,,,,,,
2,B,,,4,,,,1,,,,,,2,,,1,,,,,,,,,,,1,,
2,A,,,4,,2,1,,,,,,,2,,,,,,,,,,,,,,,,
3,A,,,3,1,,3,,,2,,,,1,,,,,,,,,,,,,,,,
3,B,,,6,,,,1,,,,,,,,,,,,,,,,,,,,1,,
3,C,,,,,1,1,,,,,,,3,1,,,,,,,,,,,,,,,
3,D,,,,,5,,,,,,,,1,,,,,,,,,,,,,,1,,
3,E,,,,,6,2,,,,,,,1,,,,,,2,,,,,,,,,,
3,F,,,,,3,,,,,,,,2,,,,,,1,,,,,,,,,,
3,G,,,,,,4,2,,,,,1,,,,,,,,,,,,,,,,,
3,H,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,
4,J,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,2,,,4,,,,,,,3,,,,,,,,,,,,,,,,
4,H,,,4,,,1,,,,,,,,,1,,,,1,,,,,,,,,,
4,G,,,2,,,,3,,3,,,,2,,,,,,,,,,,,,,,,
4,F,,,,,4,,,1,,,,,4,,,,,,,,,,,,,,,,
4,E,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,D,,,,,2,1,,1,,,,,3,,,,,,,,,,,,,,,,
4,C,,,1,4,2,,,,,,,,1,,,,,,,,,,,,,,,,
4,B,,,6,,,2,2,,,,,,,,,,,,,,,,,,,,,,
4,A,,,3,2,,1,,,,,,,,,,,,,,,,,,,,,2,,
5,A,,,4,1,,,,,,,,2,,,,,,,,,,,,,,,,,
5,B,,,2,,,4,,,,,,,1,,,,,,,,,,,,,,,,
5,C,,,,,1,2,,,,,,,4,,,,,,,,,,,,,,,,
5,D,,,,,5,3,,,,,,,1,,,,,,,,,,,,,,,,
