,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,,,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,
1,B,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,
1,C,,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
1,D,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,
1,E,,,3,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,
1,F,,,2,,,2,4,,,,,,,,,,,,,,,,,,,2,,,,
1,G,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1,H,,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,6,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1,J,,,4,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,
2,J,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,G,,,2,3,,1,1,,,,,,,,2,,,,,,,,,,,,,,,
2,F,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,
2,E,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,
2,D,,,1,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,
2,C,,,2,3,,,,,1,,,,,,,,,,,,,,,,,,,,,
2,B,,,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,,,,,,3,2,,,,,,,1,,,,,,,,,,,,,,,,
3,B,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3,C,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,D,,,9,2,,3,,,,,,,,,,,,,,,,,,,,,,,,
3,E,,,,3,,2,4,,,,,,,,,,,,,,,,,,,,,,,
3,F,,,4,2,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,G,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
3,H,,,5,,,2,3,,,,,,,,,,,,,,,,,,,1,,,,
3,I,,,,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,2,,,3,,,,,,,,,,,,,2,,,,,,,,,,,
4,J,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,2,1,,,,,1,,,3,,,,,,,,,,,,,,,,,,
4,H,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,
4,G,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,
4,F,,,3,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
4,E,,,2,,,4,1,,,,,,,,,,,,2,,,,,,,,,,,
4,D,,,1,5,,3,2,1,,,,,,,,,,,,,,,,,,,,,,
4,C,,,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
4,B,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,,,,,,2,,,1,,,,,,3,,,,,,,,,,,,,,,
5,A,,,,,,3,,1,,,,,,,1,,,,,,,,,,,,,,,
