,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,
,,N - MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,,,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,
1,B,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,
1,C,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,
1,D,,,2,,,4,3,,,,,,,,,,,,,,,,,,,,,,
1,E,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,
1,F,,,,4,,1,,,1,,,,,,,,,,,,,,,,,,,,
1,G,,,,,,4,2,,,,,1,,,,,,,,,,,,,,,,,
1,H,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
1,I,,,1,8,,2,,,,,,,,,,,,,,,,,,,,,,,
1,J,,,10,2,,,,,3,,,,,,,,,,,,,,,,,,,,
2,J,,,,5,,1,3,,1,,,,,,,,,,,,,,,,,,,,
2,I,,,6,2,,3,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,
2,G,,,2,1,,3,,,,,,,,,,,,,,,,,,,,3,,,
2,F,,,4,6,,2,,,,,,,,,,,,,,,,,,,,,,,
2,E,,,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,
2,D,,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,
2,C,,,1,,,3,,,,,,2,,,,,,,,,,,,,,,,,
2,B,,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,
3,A,,,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,
3,B,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,
3,C,,,6,,3,1,,,,,,,,,1,,,,,,,,,,,,,,
3,D,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,
3,E,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,
3,F,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,
3,G,,,,4,,2,,,1,,,,,,,,,,,,,,,,,,,,
3,H,,,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,
3,I,,,4,5,,,,,,,,2,,,,,,,,,,,,,,,,,
3,J,,,3,,,3,,,2,,,,,,,,,,,,,,,,,,,,
4,J,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,4,,4,2,,,,,,1,,,,,,,,,,,,,,,,,
4,H,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,
4,G,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,
4,F,,,,4,,1,,,,,,,,,,,,,1,,,,,,,,,,
4,E,,,2,,,4,,,,,,,,,,,,,1,,,,,,,,,,
4,D,,,,,2,3,,1,,,,,,,,,,,,,,,,,,,,,
4,C,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,
4,B,,,4,1,,1,,,3,,,,,,,,,,,,,,,,,,,,
4,A,,,,1,7,2,,,,,,,,,,,,,,,,,,,,,,,
5,A,,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,
5,B,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
5,C,,,4,,,,2,,,,,,3,,,,,,,,,,,,,,,,
