,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,B,,,,1,2,1,,,,,,,,,,,,,2,,,,,,,,,1,,
1,C,,,2,1,1,2,,,3,,,,,,,,,,,,,,,,,,,,,
1,D,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,
1,E,,,4,,,5,,,3,,,,,,,,,,,,,,,,,,,,,
1,F,,,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
1,G,,,6,,,3,2,,,,,,,,,,,,,,,,,,,,,1,,
1,H,,,6,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,1,,3,2,,,1,,,,,,,,,,2,,,,,,,,,,,
1,J,,,1,,,4,2,,1,,,,,,,,,,,,,,,,,,,,,
2,J,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,5,,,,4,,1,,,,,,,,,,,,,,,,,,,,,
2,H,,,5,,,,2,,3,,,,,,,,,,,,,,,,,,,,,
2,G,,,6,,,2,4,,,,,,,,,,,,,,,,,,,,,,,
2,F,,,4,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,
2,E,,,,5,2,2,,,,,,,3,,,,,,,,,,,,,,,,,
2,D,,,,,,6,,,,,,,,,,,,,3,,,,,,,,,,,
2,C,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
2,B,,,2,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,
2,A,,,3,,2,,,,,,,,3,4,,,,,1,,,1,,,,,,,,
