,,Feb/March 2000,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,
,,C - MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,
1,A,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,
1,B,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,
1,C,,,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,,
1,D,,,3,,,3,5,,,,,,,,,,,,,,,,,,,,,,
1,E,,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,
1,F,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,
1,G,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
1,H,,,1,,,2,4,,3,,,,,,,,,,,,,,,,,,,,
1,I,,,3,4,,1,,,,,,,,,,,,,1,,,,,,,,,,
1,J,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
2,J,,,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,
2,I,,,5,,,2,1,,,,,,,,,,,,,,,,,,,,,,
2,H,,,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,
2,G,,,3,2,,,1,1,,,,,,,,,,,,,,,,,,,,,
2,F,,,,5,,2,1,,2,,,,,,,,,,,,,,,,,,,,
2,E,,,2,1,,4,1,,,,,,,,,,,,,,,,,,,,,,
2,D,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,
2,C,,,3,1,,3,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,
2,A,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,A,,,6,2,,,,,,,,1,,,,,,,,,,,,,,,,,
3,B,,,3,,,6,1,,,,,,,,,,,,,,,,,,,,,,
3,C,,,4,,,2,5,,,,,,,,,,,,,,,,,,,,,,
3,D,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,
3,E,,,3,,,3,4,,,,,,,,,,,,,,,,,,,,,,
3,F,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,G,,,2,,4,4,3,,,,,,,,,,,,,,,,,,,,,,
3,H,,,5,3,,,2,,,,,,,,,,,,,,,,,,,,,,
3,I,,,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,2,2,,,3,,,,,,,,,,,,,,,,,,,,,,
4,J,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,
4,H,,,2,,,1,4,,,,,,,,,,,,,,,,,,,,,,
4,G,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,
4,F,,,5,1,,2,,2,,,,,,,,,,,,,,,,,,,,,
4,E,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,
4,D,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,
4,C,,,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,
4,B,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,
4,A,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,
5,A,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,
5,B,,,4,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
5,C,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,
5,D,,,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,
5,E,,,6,,,3,,,,,,,,,,,,,1,,,,,,,,,,
5,F,,,,,4,,,,,,,,1,,,,,,2,,,,,,,,,,
5,G,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
5,H,,,2,2,,,,1,1,,,,,,,,,,,,,,,,,,,,
5,I,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,
5,J,,,2,1,,,3,1,,,,,,,,,,,,,,,,,,,,,
6,J,,,5,3,,2,1,1,,,,,,,,,,,,,,,,,,,,,
6,I,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,
6,H,,,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,
6,G,,,,4,3,2,,,,,,,2,,,,,,,,,,,,,,,,
6,F,,,5,2,1,3,,,,,,,2,,,,,,1,,,,,,,,,,
6,E,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
6,D,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,
6,C,,,6,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
6,B,,,4,1,,2,1,,,,,,,,,,,,2,,,,,,,,,,
6,A,,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,
7,A,,,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,
7,B,,,3,,,3,,,,,,,,,1,,,,,,,,,,,,,,
7,C,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,
7,D,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,
7,E,,,,,3,,3,,,,,,,,,,,,1,,,,,,,,,,
7,F,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,
7,G,,,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,
7,H,,,3,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
7,I,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,
7,J,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,
8,J,,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,
8,I,,,2,,,3,4,2,,,,,,,,,,,,,,,,,,,,,
8,H,,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,
8,G,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,2,4,,,,,,,,,,,,,,,1,,,,,,,,1,,
8,E,,,2,,,2,4,,,,,,,,,,,,,,,,,,,,,,
8,D,,,6,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8,C,,,5,1,,3,,,,,,,,,,,,,,,,,,,,,,,
8,B,,,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,
8,A,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,
9,A,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,
9,B,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,
9,C,,,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,
9,D,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,
9,E,,,1,3,,3,,,,,,,,,,,,,,,,,,,2,,,,
9,F,,,4,,,4,,,,,,,,,,,,,,,,,,,,,1,,
9,G,,,,3,,6,,,,,,1,,,,,,,,,,,,,,,,,
