,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,S - O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,1,,,5,,,,,,,,1,,,,,,,,,,,,,,3,
1,B,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,
1,C,,,,7,,,,,3,,,,,,,,,,,,,,,,,,,,,
1,D,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,
1,F,,,,,10,,,,,,,,,,,,,,,,,,,,,,,2,,
1,G,,,,,2,4,4,,,,,,,,,,,,,,,,,,,,,,,
1,H,,,,,10,,,,4,,,,,,,,,,,,,,,,,,,,,
1,I,,,,4,,,,,,,,,,,,,,,,,,,,,,,,8,,
1,J,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,1,
2,J,,,,7,,,,,,,,,,,2,,,,,,,,,,,,,3,1,
2,I,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,1,
2,H,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,
2,G,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,,,1,,7,,4,,,,,,,,,,,,,,,,,,,,,1,,
2,E,,,,,4,,7,,,,,,,,,,,,,,,,,,,,,1,,
2,D,,,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,3,
2,C,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,2,1,
2,A,,,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,
3,A,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,2,,
3,B,,,10,,,,,,7,,,,,,,,,,,,,,,,,,,,2,
3,C,,,5,1,,2,,,2,,,,,,,,,,,,,,,,,,,,1,
3,D,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,2,,
3,E,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,2,
3,F,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,G,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,5,
3,H,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,3,,,4,,1,,,,,,,,,,,,,,,,,,,,,4,
3,J,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,1,2,
4,J,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,
4,I,,,,2,5,,,,,,,,2,,,,,,,,,,,,,,,,,
4,H,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
4,G,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
4,F,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,
4,E,,,5,,5,,,1,,,,,,,,,,,,,,,,,,,,,,
4,D,,,,8,,,,,,,,,,,,,,,,,,,,,,,,1,1,
4,C,,,,1,,4,4,,,,,,,,,,,,,,,,,,,,,,2,
4,B,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,1,,
4,A,,,,,10,,,,,,,,,,,,,,,,,,,,,,,2,,
5,A,,,,,10,,,,,,,,,,,,,,,,,,,,,,,1,,
5,B,,,,,7,,,,,,,,,,,,,,,,,,,,,,,4,3,
5,C,,,,,9,,,,,,,,,,,,,,,,,,,,,,,1,,
5,D,,,4,5,,2,,,,,,,,,,,,,,,,,,,,,,4,,
5,E,,,10,,,,,,,,,,,,7,,,,,,,,,,,,,,,
5,F,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
5,G,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
5,H,,,,3,2,,4,,,,,,4,,,,,,,,,,,,,,,,1,
5,I,,,,3,10,,,1,,,,,1,,,,,,,,,,,,,,,,,
5,J,,,,,6,1,,,,,,,7,,,,,,,,,,,,,5,,,,
6,J,,,,,8,,,,,,,,6,,,,,,,,,,,,,,,,,
6,I,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,H,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,5,
6,G,,,5,,,5,2,,,,,,,,,,,,,,,,,,,,,,,
