,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,
1,B,,,1,1,3,,1,,,,,,,,,,,,,,,,,,,,,,4,
1,C,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
1,D,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,5,
1,E,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,4,
1,F,,,,,,1,3,,,,,1,,,,,,,,,,,,,,,,,5,
1,G,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,5,
1,H,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,4,
1,I,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,4,
1,J,,,,,2,,3,,,,,,,,1,,,,,,,,,,,,,,4,
2,J,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,5,
2,I,,,,,4,,3,,2,,,,,,,,,,,,,,,,,,,,1,
2,H,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,4,
2,G,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,4,
2,F,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,2,
2,E,,,1,,2,,,,3,,,,,,,,,,,,,,,,,,,,4,
2,D,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,5,
2,C,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,7,
2,B,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,1,
2,A,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,5,
3,A,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,1,1,
3,B,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
3,C,,,5,,1,,,,,,,,,,,,,,1,,,,,,,,,,3,
3,D,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,2,
3,E,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
3,F,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
3,G,,,,,6,,2,,2,,,,,,,,,,,,,,,,,,,,1,
3,H,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5,
3,I,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,4,
3,J,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,J,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,7,
4,I,,,1,3,,,4,,,,,,,,,,,,,,,,,,,,,,2,
4,H,,,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,
4,G,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
4,F,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
4,E,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
4,D,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
4,C,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,3,
4,B,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,5,
4,A,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,7,
5,A,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,6,
5,B,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,
5,C,,,2,4,,,2,,,,,,,,,,,,,,,,,,,,,,3,
5,D,,,,,4,,2,,,,,,1,,,,,,,,,,,,,,,,3,
5,E,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
5,F,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,5,
5,G,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,1,
5,H,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,3,
5,I,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,
5,J,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,J,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,5,
6,I,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,H,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,
6,G,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,5,
6,F,,,1,3,,2,,,1,,,,,,,,,,,,,,,,,,,,3,
6,E,,,,4,1,,2,,,,,1,,,,,,,,,,,,,,,,,2,
6,D,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,5,
6,C,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,5,
6,B,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,7,
6,A,,,1,2,4,,2,,,,,,,,,,,,,,,,,,,,,,4,
7,A,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,
7,B,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,5,
7,C,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,3,
7,D,,,,3,,2,3,,,,,,,,,,,,,,,,,,,,,,3,
7,E,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,6,
7,F,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,4,
7,G,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,
7,H,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,2,
7,I,,,,4,,3,,,1,,,,,,,,,,,,,,,,,,,,2,
7,J,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,2,
8,J,,,4,,,,2,,,,,3,,,,,,,,,,,,,,,,,1,
8,I,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,
8,H,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,1,
8,G,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
8,F,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
8,E,,,,8,,,,,2,,,,,,,,,,,,,,,,,,,,1,
8,D,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,5,
8,C,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,3,
8,B,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,6,
8,A,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,4,
9,A,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,
9,B,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,
9,C,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,6,
9,D,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,1,
9,E,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,3,
9,F,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,6,
