,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,4,
1,B,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,
1,C,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,4,
1,D,,,,4,,2,,1,2,,,,,,,,,,,,,,,,,,,,3,
1,E,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,3,
1,F,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,2,
1,G,,,4,3,,,,,,,,,1,,,,,,,,,,,,,,,,2,
1,H,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,5,
1,I,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,5,
1,J,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,6,
2,J,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,3,
2,I,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
2,H,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
2,G,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,5,
2,F,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,2,
2,E,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,4,
2,D,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,
2,C,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,5,
2,B,,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,3,
2,A,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,2,
3,A,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
3,B,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,5,
3,C,,,5,,1,,,,2,,,,,,,,,,,,,,,,,,,,3,
3,D,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,5,
3,E,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,3,
3,F,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
3,G,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,6,
3,H,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
3,I,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,3,
3,J,,,,,5,2,1,,,,,,,,,,,,,,,,,,,,,,2,
4,J,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
4,I,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
4,H,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,6,
4,G,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
4,F,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,1,3,
4,E,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,
4,D,,,1,3,,1,,,4,,,,,,,,,,,,,,,,,2,,,2,
4,C,,,1,1,1,,4,,,,,,,,,,,,,,,,,,,,,,3,
4,B,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
4,A,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
5,A,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,4,
5,B,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,6,
5,C,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,3,
5,D,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,4,
5,E,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,7,
5,F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,8,
5,G,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,
5,H,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,4,
5,I,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
5,J,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,
6,J,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,2,
6,I,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,1,2,
6,H,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,2,
6,G,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,1,
6,F,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,
6,E,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,4,
6,D,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,C,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,
6,B,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
6,A,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,6,
7,A,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,5,
7,B,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,3,
7,C,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,6,
