,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,C - MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,2,
1,B,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,6,
1,C,,,2,2,,1,2,,1,,,,,,,,,,,,,,,,,,,,2,
1,D,,,1,,6,,1,,,,,,,,,,,,,,,,,,,,,,2,
1,E,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,4,
1,F,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,3,
1,G,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,6,
1,H,,,2,1,,,5,,,,,,,,,,,,,,,,,,,,,,3,
1,I,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,1,
1,J,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
2,J,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,
2,I,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,
2,H,,,2,,1,,5,,,,,,,,,,,,,,,,,,,,,1,1,
2,G,,,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,3,
2,F,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,3,
2,E,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,6,
2,D,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,3,
2,C,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,5,
2,B,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,3,
2,A,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,6,
3,A,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,3,
3,B,,,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,2,
3,C,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,4,
3,D,,,2,,,1,,,2,,,,,,1,,,,,,,,,,,,,,5,
3,E,,,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,3,
3,F,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,3,
3,G,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,5,
3,H,,,,,9,,3,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
4,J,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,
4,I,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,3,
4,H,,,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,
4,G,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,
4,F,,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,,2,
4,E,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,
4,D,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
4,C,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,5,
4,B,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,5,
4,A,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,
5,A,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,2,
5,B,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,2,
5,C,,,2,,,2,5,,,,,,,,,,,,,,,,,,,,,,1,
5,D,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,5,
5,E,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,
5,F,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
5,G,,,,,8,,,,,,,,1,,,,,,,,,,,,,,,,2,
5,H,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,6,
5,I,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,5,
5,J,,,,5,,3,,,,,,2,,,,,,,,,,,,,,,,,2,
6,J,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,2,
6,I,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,5,
6,H,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,3,
6,G,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,1,
6,F,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,2,
6,E,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,3,
6,D,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,3,
6,C,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,7,
6,B,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,4,
6,A,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,4,
7,A,,,,2,4,,2,,,,,,,,,,,,,,,,,,,,,,2,
7,B,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,6,
7,C,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,7,
7,D,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,4,
7,E,,,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
7,F,,,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,2,
7,G,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,2,
7,H,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,6,
7,I,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,3,
7,J,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,
8,J,,,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,4,
8,I,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,3,
8,H,,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,,3,
8,G,,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,1,
8,F,,,3,,4,,1,,,,,,,,,,,,,,,,,,,,,,,
8,E,,,1,2,,2,,1,,,,,,,,,,,,,,,,,,,,,4,
8,D,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,7,
8,C,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,4,
8,B,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,
8,A,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,
9,A,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,3,
9,B,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,6,
9,C,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,8,
9,D,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,2,
9,E,,,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,3,
9,F,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,5,
9,G,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,2,
9,H,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,
