,,Jan/Feb 2001,,,,Pin Frame Data Cover,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,bare,
1,A,,,4,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,
1,B,,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,
1,C,,,8,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,
1,D,,,4,,4,,2,,,,,,,,,,,,,,,,,,,,,,,
1,E,,,,5,3,,,,3,,,,,,,,,,,,,,,,,,,,1,
1,F,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,
1,G,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,2,
1,H,,,,,,,7,,1,,,,,,,,,,,,,,,,,1,,,1,
1,I,,,,3,4,,,,3,,,,,,,,,,,,,,,,,,,,1,
1,J,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
2,J,,,,2,3,2,,1,,,,,1,,,,,,,,,,,,,,,,,
2,I,,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,
2,H,,,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,,,2,1,4,,,,,,,,1,,4,,,,,,,,,,,,,,,
2,F,,,3,5,,,,,6,,,,,,,,,,,,,,,,,,,,,
2,E,,,6,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,
2,D,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,,,,5,,,1,,1,,,,,,,,,,,,,,,,,,,,3,
2,A,,,4,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
3,A,,,3,,,3,,,6,,,,,,,,,,,,,,,,,,,,,
3,B,,,2,6,,,2,,,,,,,,,,,,,,,,,,,,,,,
3,C,,,7,,,,,,6,,,,,,,,,,,,,,,,,,,,,
3,D,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,
3,E,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,
3,F,,,4,6,,,,,,,,,,,2,,,,,,,,,,,,,,,
3,G,,,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,H,,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,
3,J,,,,7,3,,,1,,,,,,,,,,,,,,,,,,,,,1,
4,J,,,7,2,3,,,,,,,,3,,,,,,,,,,,,,,,,,
4,I,,,,3,,,4,,2,,,,,,,,,,,,,,,,,,,,2,
4,H,,,7,,3,,,,2,,,,,,,,,,,,,,,,,,,,,
4,G,,,,2,3,3,,,2,,,,,,,,,,,,,,,,,,,,1,
4,F,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
4,E,,,,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,
4,D,,,,,10,,,,,,,,5,,,,,,,,,,,,,,,1,,
4,C,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,1,,
4,B,,,,6,,2,4,,,,,,,,,,,,,,,,,,,,,,,
4,A,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,,,,2,3,1,,2,3,,,,,,,,,,,,,,,,,,,,,
5,B,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,,,,2,5,,4,,,,,,,,,,,,,,,,,,,,,,,
5,D,,,2,3,4,,,,,,,,,,2,,,,,,,,,,,,,,,
5,E,,,,2,4,2,,,,,,2,,,,,,,,,,,,,,,,,,
5,F,,,6,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,
5,G,,,7,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
5,H,,,8,,,,1,,3,,,,,,,,,,,,,,,,,,,,,
5,I,,,3,5,3,,,,,,,,1,,,,,,,,,,,,,,,,,
5,J,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,1,
6,J,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,5,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,
6,H,,,,4,4,,3,,,,,,,,,,,,,,,,,,,,,,,
6,G,,,,,5,,,,,,,,,,6,,,,,,,,,,,,,,,
6,F,,,10,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
6,E,,,5,4,,,,1,3,,,,,,,,,,,,,,,,,,,,,
6,D,,,8,,2,3,,,,,,,,,,,,,,,,,,,,,,,,
6,C,,,6,5,,2,,,,,,,,,,,,,,,,,,,,,,,1,
6,B,,,9,,,3,,,4,,,,,,,,,,,,,,,,,,,,,
6,A,,,,9,,4,,,,,,,,,,,,,1,,,,,,,,,,,
7,A,,,3,,,5,5,,,,,,,,,,,,,,,,,,,,,,,
7,B,,,1,4,,,4,,,,,,,,,,,,,,,,,,,2,,,,
7,C,,,8,5,,,1,,,,,,,,,,,,,,,,,,,,,,,
7,D,,,3,6,,2,,,,,,,3,,,,,,,,,,,,,,,,,
7,E,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,2,
7,F,,,6,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,
7,G,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,
7,H,,,,1,8,,,1,,,,,,,,,,,,,,,,,,,,,1,
7,I,,,,,10,,,,,,,,,,,,,,3,,,,,,,,,,,
7,J,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
8,J,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
8,I,,,,3,7,,,,,,,,3,,,,,,,,,,,,,,,,,
8,H,,,,4,5,,,,2,,,,,,,,,,,,,,,,,,,,2,
8,G,,,6,4,,2,,,,,,,,,,,,,,,,,,,,,,,,
8,F,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,
8,E,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,
8,D,,,,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,
8,C,,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
8,A,,,,4,4,,3,,,,,,,,,,,,,,,,,,,,,,,
9,A,,,,2,10,,,,3,,,,,,,,,,,,,,,,,,,,,
9,B,,,,,9,,,,,,,,,,,,,,,,,,,,,2,,,,
9,C,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,,,,,10,,,,3,,,,,,,,,,,,,,,,,,,,,
9,E,,,,,4,,,,2,,,,4,,2,,,,,,,,,,,,,,,
9,F,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
9,G,,,5,,9,,,,1,,,,2,,,,,,,,,,,,,,,,,
9,H,,,5,,5,,,,,,,,2,,,,,,1,,,,,,,,,,,
9,I,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,2,
9,J,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,
10,J,,,3,8,,,,,,,,,1,,,,,,,,,,,,,,,,,
10,I,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
10,H,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
10,G,,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,
10,F,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,
10,E,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,
10,D,,,,,7,,,,,,,,2,,,,,,,,,,,,,,,,3,
10,C,,,3,,4,,3,,,,,,,,,,,,,,,,,,,,,,,
10,B,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,3,
10,A,,,10,,,,,,,0,0,,,0,,0,0,0,,0,0,0,0,0,0,,0,,,
,,,,245,220,363,54,75,8,72,0,0,2,33,0,21,0,0,0,5,0,0,0,0,0,0,10,0,4,38,
Mean,,,,24.5,22,36.3,5.4,7.5,0.8,7.2,0,0,0.2,3.3,0,2.1,0,0,0,0.5,0,0,0,0,0,0,1,0,0.4,3.8,115
Rel. Cov.,,,,21.30434783,19.13043478,31.56521739,4.695652174,6.52173913,0.695652174,6.260869565,0,0,0.173913043,2.869565217,0,1.826086957,0,0,0,0.434782609,0,0,0,0,0,0,0.869565217,0,0.347826087,3.304347826,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb/March 2000,,,,Pin Frame Data Frequency,,,,,,,,,,,,,,,,,,,,,,,,,
,,N - O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disturbance,Mound <5m,Themeda,P. mezianum,P. stramineum,Lintonia,Brachiaria,Aerva,Aspilia,Commelina,Conyza,Discoriste,Helichrysum,Hibiscus,Indigofera sch.,Indigofera brev.,Kyllinger,Misopates,Monechima,Monsonia,Pavonia,Phyllanthus,Polygala,Portulaca,Rhinacanthus,Rhynchosia,Solanum big,Solanum small,Lipia,
1,A,N  ,N,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
1,B,N  ,N,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
1,C,N  ,N,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
1,D,N  ,N,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,
1,E,N  ,N,,1,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,
1,F,N  ,N,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,
1,G,N  ,N,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
1,H,N  ,N,,1,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,
