"trap.station","type.of.hits","hit_type_plant","Species","Sp_Pin_Hits","Treatment","Block","Date"
"1A","1st","","bracharia.lacnantha",NA,"C","C","20070129"
"1A","1st","","lintonia.nutans",NA,"C","C","20070129"
"1A","1st","","pennisetum.mez.",NA,"C","C","20070129"
"1A","1st","","pennisetum.stram.",NA,"C","C","20070129"
"1A","1st","","themeda.triandra",NA,"C","C","20070129"
"1A","1st","","bare",NA,"C","C","20070129"
"1A","1st","","x_2",NA,"C","C","20070129"
"1A","1st","","aristida.kenyensis",NA,"C","C","20070129"
"1A","1st","","bothriochloa",NA,"C","C","20070129"
"1A","1st","","bracharia.3",NA,"C","C","20070129"
"1A","1st","","bracharia.eruciformis",NA,"C","C","20070129"
"1A","1st","","cynodon.dactylon",NA,"C","C","20070129"
"1A","1st","","cynodon.plecto.",NA,"C","C","20070129"
"1A","1st","","cyperus..mariscus.",NA,"C","C","20070129"
"1A","1st","","digitaria.2",NA,"C","C","20070129"
"1A","1st","","digitaria.milanjiana",NA,"C","C","20070129"
"1A","1st","","dinebra.retroflexa",NA,"C","C","20070129"
"1A","1st","","eragrostis",1,"C","C","20070129"
"1A","1st","","setaria.acro...small.",NA,"C","C","20070129"
"1A","1st","","setaria.sphaec...big.",NA,"C","C","20070129"
"1A","1st","","microchloa.kunthii",NA,"C","C","20070129"
"1A","1st","","sporobolus",NA,"C","C","20070129"
"1A","1st","","tragus.berteronianus",NA,"C","C","20070129"
"1A","1st","","x_3",NA,"C","C","20070129"
"1A","1st","","acalypha.crenata",NA,"C","C","20070129"
"1A","1st","","aerva.lanata",NA,"C","C","20070129"
"1A","1st","","amaranthus.hibridus",NA,"C","C","20070129"
"1A","1st","","aspilia.pluriseta",NA,"C","C","20070129"
"1A","1st","","caralluma",NA,"C","C","20070129"
"1A","1st","","chenopodium.schrad.",NA,"C","C","20070129"
"1A","1st","","corchorus",NA,"C","C","20070129"
"1A","1st","","commelina",NA,"C","C","20070129"
"1A","1st","","commicarpus.pedunc.",NA,"C","C","20070129"
"1A","1st","","conyza",2,"C","C","20070129"
"1A","1st","","cyathula",NA,"C","C","20070129"
"1A","1st","","dyscoriste.radicans",NA,"C","C","20070129"
"1A","1st","","euphorbia.inaequ.",NA,"C","C","20070129"
"1A","1st","","evolvulus.alsinoides",NA,"C","C","20070129"
"1A","1st","","gutenbergia",NA,"C","C","20070129"
"1A","1st","","hibiscus.flavifolius",NA,"C","C","20070129"
"1A","1st","","hibiscus.trionum",NA,"C","C","20070129"
"1A","1st","","indigofera.brevicalyx",NA,"C","C","20070129"
"1A","1st","","indigofera.schimperi",NA,"C","C","20070129"
"1A","1st","","ipomea.sinensis",NA,"C","C","20070129"
"1A","1st","","k",NA,"C","C","20070129"
"1A","1st","","kyllinger",NA,"C","C","20070129"
"1A","1st","","leucus",NA,"C","C","20070129"
"1A","1st","","lily",NA,"C","C","20070129"
"1A","1st","","melhania.",NA,"C","C","20070129"
"1A","1st","","misopates.orontium",NA,"C","C","20070129"
"1A","1st","","monechima.debile",1,"C","C","20070129"
"1A","1st","","monsonia.augustifolia",NA,"C","C","20070129"
"1A","1st","","mullugo.nudicaulis",NA,"C","C","20070129"
"1A","1st","","osteospermum",NA,"C","C","20070129"
"1A","1st","","oxygonum.sinuatum",NA,"C","C","20070129"
"1A","1st","","pavonia.patens",NA,"C","C","20070129"
"1A","1st","","pelargonium",NA,"C","C","20070129"
"1A","1st","","phyllanthus.mader.",NA,"C","C","20070129"
"1A","1st","","plectranthus",NA,"C","C","20070129"
"1A","1st","","pollichia.campestris",NA,"C","C","20070129"
"1A","1st","","polygala..l.",NA,"C","C","20070129"
"1A","1st","","polygala.sphenoptera",NA,"C","C","20070129"
"1A","1st","","portulaca.oleracea",NA,"C","C","20070129"
"1A","1st","","portulaca.quadrifida",NA,"C","C","20070129"
"1A","1st","","pseudognaphalium",NA,"C","C","20070129"
"1A","1st","","psilotrichum.schimperi",NA,"C","C","20070129"
"1A","1st","","rhinacanthus.ndor.",1,"C","C","20070129"
"1A","1st","","rhynchosia",NA,"C","C","20070129"
"1A","1st","","schkuhria.pinnata",NA,"C","C","20070129"
"1A","1st","","sida",NA,"C","C","20070129"
"1A","1st","","solanum.inc...big.",NA,"C","C","20070129"
"1A","1st","","solanum.ind...small.",NA,"C","C","20070129"
"1A","1st","","v",NA,"C","C","20070129"
"1A","1st","","w",NA,"C","C","20070129"
"1A","1st","","x_4",NA,"C","C","20070129"
"1A","1st","","x_5",NA,"C","C","20070129"
"1C","1st","","bracharia.lacnantha",NA,"C","C","20070129"
"1C","1st","","lintonia.nutans",NA,"C","C","20070129"
"1C","1st","","pennisetum.mez.",NA,"C","C","20070129"
"1C","1st","","pennisetum.stram.",NA,"C","C","20070129"
"1C","1st","","themeda.triandra",NA,"C","C","20070129"
"1C","1st","","bare",NA,"C","C","20070129"
"1C","1st","","x_2",NA,"C","C","20070129"
"1C","1st","","aristida.kenyensis",NA,"C","C","20070129"
"1C","1st","","bothriochloa",NA,"C","C","20070129"
"1C","1st","","bracharia.3",NA,"C","C","20070129"
"1C","1st","","bracharia.eruciformis",NA,"C","C","20070129"
"1C","1st","","cynodon.dactylon",NA,"C","C","20070129"
"1C","1st","","cynodon.plecto.",NA,"C","C","20070129"
"1C","1st","","cyperus..mariscus.",NA,"C","C","20070129"
"1C","1st","","digitaria.2",NA,"C","C","20070129"
"1C","1st","","digitaria.milanjiana",NA,"C","C","20070129"
"1C","1st","","dinebra.retroflexa",NA,"C","C","20070129"
"1C","1st","","eragrostis",NA,"C","C","20070129"
"1C","1st","","setaria.acro...small.",NA,"C","C","20070129"
"1C","1st","","setaria.sphaec...big.",NA,"C","C","20070129"
"1C","1st","","microchloa.kunthii",NA,"C","C","20070129"
"1C","1st","","sporobolus",NA,"C","C","20070129"
"1C","1st","","tragus.berteronianus",NA,"C","C","20070129"
"1C","1st","","x_3",NA,"C","C","20070129"
"1C","1st","","acalypha.crenata",NA,"C","C","20070129"
"1C","1st","","aerva.lanata",NA,"C","C","20070129"
"1C","1st","","amaranthus.hibridus",NA,"C","C","20070129"
"1C","1st","","aspilia.pluriseta",NA,"C","C","20070129"
"1C","1st","","caralluma",NA,"C","C","20070129"
"1C","1st","","chenopodium.schrad.",NA,"C","C","20070129"
"1C","1st","","corchorus",NA,"C","C","20070129"
"1C","1st","","commelina",NA,"C","C","20070129"
